id,title,theme,age_source,duration_min,players_min,players_max,participants_scope,summary,material,adaptation_u8,review,url,locator
scot-endzone,Atteindre la zone opposée,passe,Primaire (Écosse) ; adéquation U8 à valider,,,,,Atteindre la zone adverse en courant ou passant.,"Plots, chasubles et ballon",,Lecture du texte et du schéma ; validation coach non effectuée.,https://scottishrugby.org/wp-content/uploads/2022/11/SRSW_primary-teachers-pack.pdf,PDF page 22 (pagination fichier)
rc-tagmatch,Avancer et passer avant le tag,jeu collectif,Non précisé,,,,,Deux équipes cherchent les espaces pour marquer en tag. Le coach encourage la passe avant le tag et relance rapidement pour solliciter soutien et replacement. Les délais de passe de cette vidéo sont propres à ce jeu.,"Ballon, rubans et chasubles",Adapter les règles au cadre de ton club ; encourager le soutien sans imposer une passe systématique lorsqu’un espace libre permet d’avancer.,Source consultée — validation terrain à faire,https://www.rugbycoaching.tv/video/tag-game-tag-rugby-1/10000413,Description / Video Subtitles
nz-follow,Binômes guidés par le signal du coach,prise d’information,Under 7 (classement Rugby Toolbox),,2,2,Par binôme ; plusieurs binômes possibles,Deux partenaires échangent ; un seul voit le coach.,Un ballon par binôme,,Vérification documentaire ; adéquation U8 et validation terrain à confirmer.,https://www.rugbytoolbox.co.nz/training/technique/follow-the-coach-1,DRILL EXPLANATION et DRILL SET-UP
rc-capture-aliens,Capturer les extraterrestres par la passe,coopération,U7 (classement du site) ; adéquation U8 à valider,,,,,Coopérer pour toucher les fuyards au ballon.,Ballon et plots,,"Vérification documentaire ; aucune validation terrain. Règles de jeu éducatif, pas un règlement de compétition.",https://www.rugbycoaching.tv/plans/expert/Under7s/ccru-game-capture-the-aliens/10000906,Description et Video Subtitles de la fiche ; recommandations exclues
ffr-carre-atelier,Carré,manipulation,M8,,,,,"Déplacements et manipulation, avec travail d’équilibre et d’observation.",Non renseigné,,Piste M8 extraite du support de séance ; vidéo et organisation à compléter,https://fr.slideshare.net/slideshow/seance-atelier-n-1-octobre-2025-ecole-de-rugby/283498708,Diapositive 3 — Carré
ffr-carre2-atelier,Carré 2,motricité,M8,,,,,"Éviter, ramasser et marquer ; deux phases annoncées, vidéo nécessaire.",Non renseigné,,Piste M8 extraite du support de séance ; vidéo et organisation à compléter,https://fr.slideshare.net/slideshow/seance-atelier-n-1-octobre-2025-ecole-de-rugby/283498708,Diapositive 3 — Carré 2
rc-circle-jump,Cercle de passes avec demi-tours sautés,coordination,U7 (classement du site) ; adéquation U8 à valider,,,,,"Les joueurs restent sur leurs plots en cercle et passent rapidement. Dans la dernière progression, chaque passe est suivie de demi-tours sautés avant la réception suivante. Le coach rapproche les plots lorsque les passes deviennent difficiles.",Ballon et plots,,Description sourcée ; validation terrain non effectuée,https://www.rugbycoaching.tv/videos/coaching/Under7s/passing-warm-up-game/10001534,Video Subtitles — dernière progression
rc-protect-circle,Cercle solidaire contre un poursuivant,coopération,U7 (classement du site) ; adéquation U8 à valider,,6,6,,Cinq joueurs se tiennent en cercle et se déplacent ensemble pour empêcher un poursuivant de toucher le dos d’un joueur désigné. Changer le poursuivant et laisser un court temps de concertation entre les manches.,Aucun matériel pour cette situation,,Description sourcée ; validation terrain non effectuée,https://www.rugbycoaching.tv/videos/coaching/Under7s/players-first-circle-caterpillar-game/10002001,Video Subtitles — première situation en cercle
rc-multidirection,Changer de ligne d’essai,prise d’information,U7 (classement du site),,,,,Le coach annonce une couleur qui change la ligne visée par l’équipe en possession. Les équipes se réorganisent. La vidéo ajoute une pause de quatre secondes au défenseur après toucher.,Ballon et repères colorés,Commencer avec deux directions et une annonce entre les actions. Introduire le changement pendant le jeu seulement après compréhension.,Source consultée — validation terrain à faire,https://www.rugbycoaching.tv/plans/expert/Under7s/multi-direction-game/10001536,Description / Video Subtitles
nz-noodle-highfive,Chasse à la frite avec délivrance par la main,évitement et coopération,Under 7 (classement du site),,10,10,,"Deux chasseurs avec frites, autres joueurs avec ballon.",Deux frites et six à huit ballons,,"Description source, adaptation terrain non validée.",https://www.rugbytoolbox.co.nz/training/technique/noodle-tag-1-3,DRILL EXPLANATION
